Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),April 2013 to March 2014: volume,April 2013 to March 2014: digital volume,April 2013 to March 2014: cost per transaction (£),July 2013 to June 2014: volume,July 2013 to June 2014: digital volume,July 2013 to June 2014: cost per transaction (£),October 2013 to September 2014: volume,October 2013 to September 2014: digital volume,October 2013 to September 2014: cost per transaction (£),January 2014 to December 2015: volume,January 2014 to December 2015: digital volume,January 2014 to December 2015: cost per transaction (£),April 2014 to March 2015: volume,April 2014 to March 2015: digital volume,April 2014 to March 2015: cost per transaction (£),July 2014 to June 2015: volume,July 2014 to June 2015: digital volume,July 2014 to June 2015: cost per transaction (£),October 2014 to September 2015: volume,October 2014 to September 2015: digital volume,October 2014 to September 2015: cost per transaction (£),January 2015 to December 2015: volume,January 2015 to December 2015: digital volume,January 2015 to December 2015: cost per transaction (£),April 2015 to March 2016: volume,April 2015 to March 2016: digital volume,April 2015 to March 2016: cost per transaction (£),July 2015 to June 2016: volume,July 2015 to June 2016: digital volume,July 2015 to June 2016: cost per transaction (£),October 2015 to September 2016: volume,October 2015 to September 2016: digital volume,October 2015 to September 2016: cost per transaction (£),January 2016 to December 2016: volume,January 2016 to December 2016: digital volume,January 2016 to December 2016: cost per transaction (£),April 2016 to March 2017: volume,April 2016 to March 2017: digital volume,April 2016 to March 2017: cost per transaction (£),July 2016 to June 2017: volume,July 2016 to June 2017: digital volume,July 2016 to June 2017: cost per transaction (£),October 2016 to September 2017: volume,October 2016 to September 2017: digital volume,October 2016 to September 2017: cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
"Department for Business, Energy and Industrial Strategy",BEIS,Land Registry,HMLR,"Land Registry: title register, plan and document views",3847098,3847098,1.53,,,,,,,,,,,,,,,,5384752,5384752,,5508396,5508396,1.22,5630212,5630212,1.22,5724759,5724759,1.25,5834478,5834478,1.14,5972650,5972650,1.14,6125559,6125559,1.14,6240431,6240431,1.14,6355601,6355601,1.14,6482686,6482686,1.14,6465372,6465372,1.14,6421682,6421682,1.14,6432534,6432534,1.73,6345853,6345853,1.73,6347010,6347010,,Requesting information,https://www.gov.uk/search-property-information-land-registry,"Data for applications to view the title register, plan, or documents.","Digital Transactions are defined as those lodged by a customer through a digital channel. Once received some of these transactions are processed automatically whilst others require manual intervention and subsequently incur greater costs. As fewer transactions are lodged through non-digital channels a greater proportion of digital transactions require such manual intervention. Therefore whilst overall efficiency of a service may improve, the calculated average cost per digital transaction may be negatively impacted.<br><br>Land Registry costs are based on total costs per the 2014/15 published accounts (excluding exceptional items). Because our costs do not incur evenly, transaction costs based on published annual accounts represent a more stable reflection of the costs of delivering services and exclude changes purely resulting from the uneven profile of our costs. Apportioned costs include (but are not limited to) labour, accommodation, office equipment, information services, depreciation, provisions, fees paid, and general overheads; all attributed using the most appropriate cost driver. Costs also include that of indemnity, being compensation paid to injured parties such as victims of property fraud. Payments and required movements in the provision for such payments (as determined by an independent actuary) create a significant degree of annual fluctuation in costs which impact on cost per transaction accordingly.","A view of a register, document or plan provides a snapshot of the information that Land Registry holds at the time of the request. Views can only be requested digitally. Requests can be made by businesses and members of the public.",Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Land Registry,HMLR,Land Registry: transfer of part,125285,,,,,,,,,,,,,,,,,,145573,1295,,146039,9146,,141889,21934,,143266,42906,,148506,69800,,152040,87111,,154831,99462,,155557,107191,,155593,114042,,154996,118667,,160315,127169,,168439,136528,,178739,147690,,184698,155048,,181947,154832,,Providing information,https://www.gov.uk/government/collections/business-e-services,Data for applications to register the transfer of part of an existing registered title.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Transform a Madrid protocol designation,0,,,0,,,,,,0,,,1,0,,1,0,,3,0,,3,0,,4,0,,5,0,,9,0,,13,0,,13,0,,12,0,,9,0,,7,0,,6,0,,8,0,,6,0,,5,0,,6,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for transforming a Madrid protocol designation (TM4).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Updates to insolvency practitioner details,1700,0,,1700,0,,,,,666,0,,,,,722,,,743,0,,908,0,,884,0,,897,0,,787,0,,556,0,,547,0,,561,0,,551,0,,622,0,,639,0,,661,0,,655,0,,549,0,,450,0,,Providing information,https://www.gov.uk/government/organisations/insolvency-service,Data for updates to insolvency practitioner details.,,The volumes represent the number of updates per IP but not the volume of transactional updates. One IP update can represent thousands of transactional amendments,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Well Operations Notification System (WONS): applications,,,,395,,,502,,,507,,,511,,,495,,,479,,,440,,,433,,,437,,,464,,,,,,,,,484,,,,,,,,,,,,,,,,,,,,,,,,Providing information,,Data for applications for the Well Operations Notification System (WONS).,,,Business,[not provided]
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Biomass Suppliers List registrations,,,,,,,,,,,,,,,,,,,,,,,,,1732,,,4287,,,,,,,,,,,,,,,,,,,,,,,,,,,22283,22283,28.79,18114,18114,,14238,14238,,,https://www.gov.uk/register-biomass-supplier,Data for registrations on the Biomass Suppliers List,,Service managed on behalf of BEIS by Gemserve,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Well Operations Notification System (WONS): consents and notifications,316,,,316,316,,1082,,,1110,,,1114,,,1055,,,1085,,,1109,,,1084,,,1117,,,1055,,,,,,,,,1204,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.og.decc.gov.uk/portal.htm,Data for consents and notifications under the Well Operations Notification System (WONS).,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Carbon Reduction Commitment (CRC) Energy Efficiency Scheme: registrations,,,,,,,6400,,,6400,,,9161,,,11015,,,14804,,,17807,,,21735,,,23930,,,21219,21219,,20983,20983,,17661,17661,,20996,20996,,26382,26382,,36621,36621,,84345,84345,,91074,91074,,101186,101186,,124363,124363,,,,,Providing information,https://www.gov.uk/crc-energy-efficiency-scheme-qualification-and-registration,Data for registrations with the Carbon Reduction Commitment (CRC) Energy Efficiency Scheme.,,Service managed on behalf of BEIS by the Environment Agency,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Oil and Gas decommissioning liabilities: section 29 notices,1500,,,1500,1370,,1304,,,1569,,,1640,,,1421,,,1370,,,1282,,,1240,,,1166,,,1096,,,,,,,,,1113,,,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.og.decc.gov.uk/portal.htm,Data for notices served under section 29.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Energy Technology List (ETL) batched product applications,350,,,349,349,,329,329,,329,329,,316,316,,308,308,,,,,,,,,,,,,,241,241,,201,201,,186,186,,207,207,,221,221,,218,218,,207,207,,196,196,,183,183,,185,185,,202,202,,"Requesting benefits, payments or loans",https://www.gov.uk/guidance/energy-technology-list,Data for batched product applications for products that meet the energy-saving criteria to be on the ETL and qualify for enhanced capital allowances.,,Service managed on behalf of BEIS by the Carbon Trust,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,"Energy Act 2008, part 4a: applications for consent to locate",187,,,209,,,209,0,,433,,,141,,,262,,,,,,320,,,396,,,409,,,298,,,295,,,304,,,,,,,,,,109328,,,,,,,,,,,,,,,,,Requesting a licence or consent,,"Data for applications for consent to locaate oil and gas offshore installations, under the Energy Act 2008, part 4a.",,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Environmental directions under the Offshore Petroleum Production and Pipelines (Assessment of Environmental Effects) Regulations 1999,483,,,,,,1757,,,1799,,,1698,,,1567,,,1342,,,997,,,755,,,831,,,741,,,,,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.og.decc.gov.uk/portal.htm,Data for environmental directions under the Offshore Petroleum Production and Pipelines (Assessment of Environmental Effects) Regulations 1999.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Environmental management systems (EMS): annual public statements,,,,,,,,,,0,,,55,,,55,,,55,,,58,,,57,,,114,,,114,,,96,,,112,,,56,,,59,,,,,,,,,,,,,,,,,,,,,,,Data for annual public statements using EMS.,,,Business,[not provided]
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Environmental management systems (EMS): verification reports,,,,,,,,,,3,,,22,,,19,,,19,,,14,,,17,,,18,,,17,,,21,,,20,,,19,,,20,,,,,,,,,,,,,,,,,,,,,,,Data for verification reports of EMS provided to DECC by operators.,,,Business,[not provided]
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Oil and gas: environmental statements,24,,,,,,28,,,21,,,11,,,8,,,2,,,5,,,7,,,7,,,7,,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Providing information,,Data for environmental statements submitted to DECC under the Environmental Impact Assessment regulations.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,EU Emissions Trading System (ETS) applications,357,,,,,,1853,,,330,,,768,,,266,266,,206,206,,142,142,,79,79,,18,18,,18,18,,19,19,,8,8,,15,15,,17,17,,21,21,,27,27,,40,40,,40,40,,37,37,,39,39,,Requesting a licence or consent,https://euets.environment-agency.gov.uk/Common/Help.aspx,Data for bids for carbon allowances submitted using the auction platform of the EU Emissions Trading System (ETS). Intercontinental Exchange (ICE) runs fortnightly auctions of EU ETS allowances on behalf of BEIS.,,Application process operated by the Environment Agency on behalf of BEIS,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,EU Emissions Trading System (ETS): submissions using the auction platform,,,,,,,163,,,219,,,227,,,266,,,278,,,280,280,,275,275,,265,265,,269,269,,281,281,,281,281,,292,295,,295,295,,290,290,,272,272,,267,267,,255,255,,262,262,,274,274,,Requesting a licence or consent,https://www.gov.uk/guidance/eu-ets-carbon-markets,Data for submissions made using the auction platform of the EU Emissions Trading System (ETS),,The auction platform is run by ICE Futures Europe on behalf of BEIS. The design of the auctions is specified in EU law (the Auctioning Regulation).,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Ofgem,,Applications to be listed on the Central Feed-in Tariffs Register (CFR),218000,218000,,,,,147000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,,,3.16,,,,,,,,,,Registering,https://www.renewablesandchp.ofgem.gov.uk/,"Data for applications to be listed on the Central Feed-in Tariffs Register (CFR), managed by Ofgem.",,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Ofgem,,Feed in Tariffs: levelisation,360,360,,250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.renewablesandchp.ofgem.gov.uk/,Data for levelisation of feed-in tariffs.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Ofgem,,Renewals Obligation Order Feed-In Tariff (ROO-FIT) accreditation,350,350,,800,,,800,,,741,,,905,905,,1046,1046,,1390,,,1903,,,,,,,,,3418,3418,,2799,2799,620.00,3251,3251,361.00,3293,3293,,3586,3586,243.00,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.ofgem.gov.uk/environmental-programmes/feed-tariff-fit-scheme/applying-feed-tariff/roo-fit,Data for ROO-FIT accreditations issued by Ofgem.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,"Field production, flaring and venting consents",420,,,732,732,,768,,,791,,,786,,,785,,,757,,,760,,,803,,,895,,,965,,,,,,,,,894,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.og.decc.gov.uk/portal.htm,"Data for field production, flaring and venting consents.",,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Fluorinated greenhouse gas and ozone depleting substances: notifications,,,,,,,,,,0,,,3,,,4,,,5,,,5,,,4,,,6,,,5,,,6,,,11,,,16,,,60,,,,,,,,,,,,,,,,,,,,,Providing information,,Data for F-Gas/ODS Annex C non-compliance notification forms (NCFs) submitted by operators to DECC when they have identified that they had a release of over 1000 tonnes.,,,Business,[not provided]
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Green Deal: provider registrations,,,,,,,,,,,,,107,,,105,,,95,,,85,,,55,,,,,,41,,,,,,28,0,2283.00,12,,,11,,896.73,16,0,5002.75,15,0,,18,0,,11,0,,14,0,,,0,,Registering,http://gdorb.decc.gov.uk/providers/become-a-provider,Data for applications to become Green Deal Providers and withdrawals from the scheme,,"Green Deal Providers arrange Green Deal Plans, provide finance, and arrange for the installation of the agreed energy efficiency improvements through an authorised installer. Green Deal Providers are assessed and authorised by the Green Deal Oversight and Registration Body. Costs are paid by BEIS. Volumes include both Pre-Assessment Questionnaires (PAQs) and Fitness Tests.",Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Coal Authority,,Coal Authority licence applications,100,,,,,,154,8,,39,0,,33,0,,34,0,,34,0,,15,0,,21,0,,22,0,,24,0,,29,0,,25,0,,23,0,,17,0,,16,0,,33,0,,46,0,,56,0,,,0,,,0,,Requesting a licence or consent,https://www.gov.uk/government/collections/coal-mining-licence-applications,"Data for applications for Coal Authority licences to mine coal or extract gas, and agreements to access coal mines.",,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Applications under the Marine and Coastal Access Act,105,,,,,,175,,,170,,,,,,16,,,16,,,43,,,64,,,82,,,92,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,Data for applications under the Marine and Coastal Access Act.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Coal Authority,,Coal Authority mining reports,245000,232750,,,,,251000,248490,,298300,250740,,309200,263150,,325036,280522,,304783,,,315051,,,321165,,,320290,,,318537,,,320504,,,328838,,,335947,,,344591,,,346378,,,333880,333880,,333757,333757,,326065,326065,,,,,,,,Requesting information,https://www.gov.uk/check-if-property-is-affected-by-coal-mining,"Data for mining reports issued by the Coal Authority, which allow property owners to check if a property is in a former coal mining area and to order a mining report.",,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Energy infrastructure: necessary wayleave applications,300,,,300,261,,201,,,219,,,223,,,234,,,247,,,256,,,275,,,307,,,323,,,,,,,,,1032,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.og.decc.gov.uk/EIP.htm,Data for applications for use of land for electricty lines on the Energy Infrastructure Portal.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Notifications of offshore decommissioning liabilities,8,,,8,2,,5,,,5,,,3,,,2,,,2,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.og.decc.gov.uk/EIP.htm,Data for notifications of offshore decommissioning liabilities.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Non-compliance notifications under the Offshore Chemicals Regulations 2002,,,,,,,,,,158,,,170,,,169,,,166,,,159,,,164,,,158,,,150,,,140,,,119,,,110,,,87,,,,,,,,,,,,,,,,,,,,,Providing information,,Data for non-compliance notifications submitted by operators to DECC when they have breached their permit issued under the Offshore Chemicals Regulations 2002.,,,Business,[not provided]
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Offshore Combustion Installation Permits (PPC),63,,,,,,122,,,107,,,86,,,54,,,,,,49,,,53,,,78,,,63,,,66,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,Data for permits for offshore combustion installations.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,"Department for Business, Energy and Industrial Strategy",BEIS,Oil pollution emergency plans,399,,,,,,757,,,296,,,332,,,346,,,305,,,327,,,318,,,291,,,307,,,329,,,385,,,462,,,518,,,,,,,,,,,,,,,,,,,,,Providing information,,"Data for OPEPs submitted, setting out arrangements for responding to incidents that cause or may cause oil pollution in the sea.",,"OPEPs are submitted under two sets of regulations - Merchant shipping (oil pollution preparedness, response co-operation convention) regulations 1998 and The Offshore Installations (Emergency Pollution Control) Regulations 2002. ",Business,Taxpayers
